"Name","Team","G","PA","HR","R","RBI","SB","BBRate","KRate","ISO","BABIP","AVG","OBP","SLG","wOBA","wRCPlus","BsR","Off","Def","WAR","PlayerId"
"Jayson Werth","Nationals","143","606","21","84","69","5","11.7 %","22.9 %",".173",".288",".244",".335",".417",".327","101","2.3","3.4","-12.4","1.1","1327"
"Mike Napoli","Indians","150","645","34","92","101","5","12.1 %","30.1 %",".226",".296",".239",".335",".465",".343","113","-5.2","5.2","-17.3","1.0","3057"
"Joe Mauer","Twins","134","576","11","68","49","2","13.7 %","16.1 %",".128",".301",".261",".363",".389",".327","102","-2.2","-0.6","-9.4","1.0","1857"
"Howie Kendrick","Dodgers","146","543","8","65","40","10","9.2 %","17.7 %",".111",".301",".255",".326",".366",".303","91","2.4","-3.7","-4.6","0.9","4229"
"Brandon Phillips","Reds","141","584","11","74","64","14","3.1 %","11.6 %",".125",".312",".291",".320",".416",".315","92","-3.6","-9.3","-0.4","0.9","791"
"Chris Carter","Brewers","160","644","41","84","94","3","11.8 %","32.0 %",".277",".260",".222",".321",".499",".346","112","-4.1","5.1","-16.9","0.9","9911"
"Albert Pujols","Angels","152","650","31","71","119","4","7.5 %","11.5 %",".189",".260",".268",".323",".457",".331","111","-6.0","2.7","-16.1","0.9","1177"
"Victor Martinez","Tigers","154","610","27","65","86","0","8.2 %","14.8 %",".186",".303",".289",".351",".476",".351","120","-11.4","3.0","-15.1","0.9","393"
"Jay Bruce","- - -","147","589","33","74","99","4","7.5 %","21.4 %",".256",".266",".250",".309",".506",".340","111","-2.9","4.8","-15.2","0.9","9892"
"Adonis Garcia","Braves","134","563","14","65","65","3","4.3 %","16.5 %",".133",".308",".273",".311",".406",".308","90","-1.5","-8.8","-0.8","0.9","13777"
"Andrew McCutchen","Pirates","153","675","24","81","79","6","10.2 %","21.2 %",".174",".297",".256",".336",".430",".329","106","-3.0","2.1","-16.5","0.7","9847"
"Kendrys Morales","Royals","154","618","30","65","93","0","7.8 %","19.4 %",".204",".283",".263",".327",".468",".339","110","-5.0","2.3","-16.3","0.7","8610"
"Matt Kemp","- - -","156","672","35","89","108","1","5.4 %","23.2 %",".231",".297",".268",".304",".499",".333","109","-0.5","6.7","-21.3","0.7","5631"
"Adeiny Hechavarria","Marlins","155","547","3","52","38","1","6.0 %","13.3 %",".075",".269",".236",".283",".311",".256","56","2.0","-27.8","14.6","0.4","10459"
"Alcides Escobar","Royals","162","682","7","57","55","17","4.0 %","14.1 %",".089",".295",".261",".292",".350",".278","68","-0.8","-27.2","8.1","0.4","6310"
"Mitch Moreland","Rangers","147","503","22","49","60","1","7.0 %","23.5 %",".189",".266",".233",".298",".422",".307","87","-1.8","-10.0","-3.4","0.4","3086"
"Marwin Gonzalez","Astros","141","518","13","55","51","12","4.2 %","22.8 %",".147",".311",".254",".293",".401",".298","87","-1.9","-10.2","-4.7","0.3","5497"
"Cheslor Cuthbert","Royals","128","510","12","49","46","2","6.3 %","18.8 %",".139",".320",".274",".318",".413",".316","94","-4.1","-7.7","-7.4","0.2","10473"
"Scooter Gennett","Brewers","136","542","14","58","56","8","7.0 %","21.0 %",".149",".315",".263",".317",".412",".315","91","-2.6","-8.9","-7.4","0.1","10339"
"Yasmany Tomas","Diamondbacks","140","563","31","72","83","2","5.5 %","24.2 %",".236",".310",".272",".313",".508",".345","109","-5.5","0.6","-19.7","-0.1","17171"
"Eric Hosmer","Royals","158","667","25","80","104","5","8.5 %","19.8 %",".167",".301",".266",".328",".433",".326","101","-5.3","-4.5","-20.4","-0.2","3516"
"Yonder Alonso","Athletics","156","532","7","52","56","3","8.5 %","13.9 %",".114",".284",".253",".316",".367",".299","88","-3.0","-10.4","-11.0","-0.3","2530"
"Alexei Ramirez","- - -","145","506","6","38","48","8","4.2 %","12.5 %",".092",".265",".241",".277",".333",".264","63","-2.5","-25.3","-14.5","-2.4","5133"
